25/02/2023  14:04:42

Nr,F-Nr,Flag,Zeit,Datum,Anzahl,Status,Fehlertext,Info-Txt,Info-Txt,
1,62,1 kommen,13:49:34,25.02,1,,9062 Reset event!,0,Unbekannt,
2,62,1 kommen,13:49:30,25.02,4,,9062 Reset event!,26,Reset bei Maschinendaten kopieren,
3,243,1 kommen,13:16:08,25.02,1,,F163 Error flowmeter occurs during check of flow rate,0,,
4,62,1 kommen,13:08:31,25.02,3,,9062 Reset event!,0,Unbekannt,
5,268,1 kommen,15:26:32,14.02,27,,9268 power supply  notifies to cpu mains voltage too low,0,,
6,68,2 gehen,13:46:40,14.02,1,,Grouts container withdrawn,0,,
7,68,1 kommen,13:38:17,14.02,1,,Grouts container withdrawn,0,,
8,241,1 kommen,12:52:10,14.02,1,,F161 Error flowmeter occurs during brewing cycle,0,,
9,271,1 kommen,12:51:54,14.02,1,,F9271 oscillation pump swiches to coast down operation mode,1,,
10,62,1 kommen,10:19:00,14.02,2,,9062 Reset event!,0,Unbekannt,
11,268,1 kommen,19:41:23,13.02,25,,9268 power supply  notifies to cpu mains voltage too low,0,,
12,62,1 kommen,16:23:48,13.02,1,,9062 Reset event!,0,Unbekannt,
13,62,1 kommen,16:23:45,13.02,8,,9062 Reset event!,26,Reset bei Maschinendaten kopieren,
14,62,1 kommen,13:58:42,13.02,7,,9062 Reset event!,0,Unbekannt,
15,268,1 kommen,20:49:04,10.02,23,,9268 power supply  notifies to cpu mains voltage too low,0,,
16,62,1 kommen,20:49:03,10.02,6,,9062 Reset event!,0,Unbekannt,
17,268,1 kommen,20:48:56,10.02,21,,9268 power supply  notifies to cpu mains voltage too low,0,,
18,62,1 kommen,20:48:53,10.02,5,,9062 Reset event!,0,Unbekannt,
19,268,1 kommen,22:39:51,09.02,19,,9268 power supply  notifies to cpu mains voltage too low,0,,
20,62,1 kommen,22:36:48,09.02,4,,9062 Reset event!,0,Unbekannt,
21,268,1 kommen,18:08:38,09.02,17,,9268 power supply  notifies to cpu mains voltage too low,0,,
22,62,1 kommen,17:38:46,09.02,3,,9062 Reset event!,0,Unbekannt,
23,268,1 kommen,17:38:03,09.02,15,,9268 power supply  notifies to cpu mains voltage too low,0,,
24,1,1 kommen,17:37:30,09.02,2,,F26 Current error, portioner 1,0,,
