,time,tx,address,rx
12,6.89913,000100010000000b00000060,0300010000000100014d00,000100010000000b0000003e000100220031000d00190002000100000000000000000000000000000000000000000000000000000000000000000000001b
38,7.297377,000100020000000b00000061,0300010000000100014d00,000100020000000b0000003e0001001e0031000d001900020004001a00000000000000000000000000000000000000000000000000000000000000000035
60,7.643144,000100030000000b00000062,0300010000000100014d00,000100030000000b000000f3000100080010000d001900020001000000000000000000000000000000000000000000000000000000000000000000000097
82,8.036037,000100040000000b00000063,0300010000000100014d00,000100040000000b0000003e0001001f0008000d0019000200030000000000000000000000000000000000000000000000000000000000000000000000f4
104,8.365024,000100050000000b00000064,0300010000000100014d00,000100050000000b0000000c01010020001a000f000e0002001b0000000000000000000000000000000000000000000000000000000000000000000000e6
126,8.691013,000100060000000b00000065,0300010000000100014d00,000100060000000b0000004400020028002e000d000e0002000100000000000000000000000000000000000000000000000000000000000000000000001f
148,9.100265,000100070000000b00000066,0300010000000100014d00,000100070000000b00000044000100110026000d000e00020001000000000000000000000000000000000000000000000000000000000000000000000000
170,9.444926,000100080000000b00000067,0300010000000100014d00,000100080000000b000000f10001000a0034000c000e000200010000000000000000000000000000000000000000000000000000000000000000000000b4
192,9.77398,000100090000000b00000068,0300010000000100014d00,000100090000000b0000000f010100360033000c000e00020001000100000000000000000000000000000000000000000000000000000000000000000000
214,10.163054,0001000a0000000b00000069,0300010000000100014d00,0001000a0000000b0000003e000100000013000a000e000200020000000000000000000000000000000000000000000000000000000000000000000000d7
236,10.488282,0001000b0000000b0000006a,0300010000000100014d00,0001000b0000000b0000000c0101001700290013000d000200190000000000000000000000000000000000000000000000000000000000000000000000f3
258,10.819867,0001000c0000000b0000006b,0300010000000100014d00,0001000c0000000b0000003e0001003000170010000d00020001000000000000000000000000000000000000000000000000000000000000000000000011
280,11.194973,0001000d0000000b0000006c,0300010000000100014d00,0001000d0000000b0000003e0001002d00170010000d00020008001a00000000000000000000000000000000000000000000000000000000000000000030
302,11.519545,0001000e0000000b0000006d,0300010000000100014d00,0001000e0000000b0000003e0001002a003a000d000d00020007000000000000000000000000000000000000000000000000000000000000000000000033
324,11.866371,0001000f0000000b0000006e,0300010000000100014d00,0001000f0000000b0000000c0101000400310014000a000200170000000000000000000000000000000000000000000000000000000000000000000000e8
346,12.235689,000100100000000b0000006f,0300010000000100014d00,000100100000000b0000003e0001000300310014000a00020006000000000000000000000000000000000000000000000000000000000000000000000008
368,12.570638,000100110000000b00000070,0300010000000100014d00,000100110000000b0000000c0101003800300014000a0002001500000000000000000000000000000000000000000000000000000000000000000000001b
390,12.913708,000100120000000b00000071,0300010000000100014d00,000100120000000b0000003e0001003500300014000a0002000500000000000000000000000000000000000000000000000000000000000000000000003a
412,13.335545,000100130000000b00000072,0300010000000100014d00,000100130000000b0000000c010100330027001600090002001300000000000000000000000000000000000000000000000000000000000000000000000e
434,13.68064,000100140000000b00000073,0300010000000100014d00,000100140000000b0000003e000100300024001600090002000400000000000000000000000000000000000000000000000000000000000000000000002b
