Unnamed: 0,4500 - 1,4501 - 2,4502 - 3,4503 - 4,4504 - 5,4505 - 6,4506 - 7,4507 - 8,4508 - 9,4509 - 10,450A - 11,450B - 12,450C - 13,450D - 14,450E - 15,450F - 16,4510 - 17,4511 - 18,4512 - 19,4513 - 20
01 nr,9,1,9,3,27,32,18,19,18,18,2,8,10,4,15,27,18,19,0,0
02 mode,1,1,1,1,1,5,0,2,0,0,1,1,1,1,3,1,0,2,10,10
03 state,17,17,17,17,17,17,1,17,1,1,17,17,17,17,17,17,1,17,17,17
04 prior,100,100,100,100,100,100,100,100,100,100,100,100,101,100,100,100,100,100,0,0
05 prwahl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
06 prtx,20,20,20,0,20,0,0,0,0,0,20,20,20,0,0,20,0,0,0,0
07 zub,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
08 zugabe,3,4,3,0,9,9,0,0,0,0,4,0,3,0,1,9,0,0,0,0
09 ausvar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0
0A mehlmeng,55,56,55,57,52,30,30,33,30,30,76,90,61,75,30,55,30,33,30,30
0B mehlm2,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00010000,0x00000001,0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000
0C wassm,85,70,230,280,35,10,10,10,10,10,66,70,60,270,10,32,10,10,10,10
0D dosmeng,200,190,105,0,100,105,0,180,0,0,150,0,174,0,90,80,0,120,0,0
0E dos001,30,35,0,0,0,0,0,0,0,0,30,0,45,0,0,0,0,60,0,0
0F brw001,50,50,50,50,50,0,0,0,0,0,50,50,50,50,0,50,0,0,0,0
10 brw002,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 brw003,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0
12 preinf,0,20,0,0,20,0,0,0,0,0,20,20,0,0,0,20,0,0,0,0
13 zmaktiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 zmstart,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15 zmlang,16,16,50,50,16,16,16,16,16,16,50,50,16,50,16,50,16,15,15,15
16 bkstart,5,5,5,5,5,0,0,0,0,0,5,5,5,5,0,5,0,0,0,0
17 bklang,95,95,95,95,95,1,1,1,1,1,95,95,95,95,1,95,1,1,0,0
18 ZgbMehl,0,0,0,0,52,45,0,0,0,0,0,0,0,0,0,62,0,0,0,0
19 jklang,0,5,0,0,5,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
1A capvar,3,3,3,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0
1B milvar,3,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0
1C dosvar,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,3,0,3,0,0
1D tropre,15,15,15,15,15,10,10,10,10,10,15,15,15,15,10,15,10,10,0,0
1E mtropre,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1F brzeit,1000,52,65,71,66,10,20,20,20,20,43,35,51,61,20,47,20,20,20,20
20 vorwl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
21 munzp,1,2,0,0,2,0,0,0,0,0,2,2,1,1,0,2,0,0,0,0
22 preis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23 fehler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 text,Latte              ,Cappuccino         ,White Coffee       ,Americano          ,Mocha              ,Hot Chocolate      ,blocked            ,hot water          ,blocked            ,blocked            ,2 Cappuccino       ,2 espresso         ,2 cafe latte       ,2 cafe creme       ,milk free flow     ,chociatto          ,blocked            ,Hot water          ,x2                 ,x2                 
25 BrTakt,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0
26 AusgPos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 ZgbWass,0,0,0,0,170,190,0,0,0,0,0,0,0,0,0,80,0,0,0,0
28 MilQual,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,10,10
29 count,280,242,53,214,303,269,0,4153,0,0,0,0,0,0,0,0,0,0,0,0
