
25/02/2023  14:22:08

;4500 - 1;;4501 - 2;;4502 - 3;;4503 - 4;;4504 - 5;;4505 - 6;;4506 - 7;;4507 - 8;;4508 - 9;;4509 - 10;;450A - 11;;450B - 12;;450C - 13;;450D - 14;;450E - 15;;450F - 16;;4510 - 17;;4511 - 18;;4512 - 19;;4513 - 20;;0014 - 21;;0015 - 22;;0016 - 23;;0017 - 24;;0018 - 25;;0019 - 26;;001A - 27;;001B - 28;;001C - 29;;001D - 30;;001E - 31;;001F - 32;;0020 - 33;;0021 - 34;;0022 - 35;;0023 - 36;;0024 - 37;;0025 - 38;;0026 - 39;;0027 - 40;;0028 - 41;;0029 - 42;;002A - 43;;002B - 44;;002C - 45;;002D - 46;;002E - 47;;002F - 48;;0030 - 49;;0031 - 50;;0032 - 51;;0033 - 52;;0034 - 53;;0035 - 54;;0036 - 55;;0037 - 56;;0038 - 57;;0039 - 58;
01 nr;9;1;1;1;9;1;3;1;27;1;32;1;18;1;19;1;18;1;18;1;2;1;8;1;10;1;4;1;15;1;27;1;18;1;19;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02 mode;1;1;1;1;1;1;1;1;1;1;5;1;0;1;2;1;0;1;0;1;1;1;1;1;1;1;1;1;3;1;1;1;0;1;2;1;10;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03 state;17;1;17;1;17;1;17;1;17;1;17;1;1;1;17;1;1;1;1;1;17;1;17;1;17;1;17;1;17;1;17;1;1;1;17;1;17;1;17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04 prior;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;101;1;100;1;100;1;100;1;100;1;100;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05 prwahl;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06 prtx;20;1;20;1;20;1;0;1;20;1;0;1;0;1;0;1;0;1;0;1;20;1;20;1;20;1;0;1;0;1;20;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07 zub;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08 zugabe;3;1;4;1;3;1;0;1;9;1;9;1;0;1;0;1;0;1;0;1;4;1;0;1;3;1;0;1;1;1;9;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09 ausvar;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0A mehlmeng;55;1;56;1;55;1;57;1;52;1;30;1;30;1;33;1;30;1;30;1;76;1;90;1;61;1;75;1;30;1;55;1;30;1;33;1;30;1;30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0B mehlm2;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00010000;1;0x00000001;1;0x00000000;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000000;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000000;1;0x00000000;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0C wassm;85;1;70;1;230;1;280;1;35;1;10;1;10;1;10;1;10;1;10;1;66;1;70;1;60;1;270;1;10;1;32;1;10;1;10;1;10;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0D dosmeng;200;1;190;1;105;1;0;1;100;1;105;1;0;1;180;1;0;1;0;1;150;1;0;1;174;1;0;1;90;1;80;1;0;1;120;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0E dos001;30;1;35;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;30;1;0;1;45;1;0;1;0;1;0;1;0;1;60;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0F brw001;50;1;50;1;50;1;50;1;50;1;0;1;0;1;0;1;0;1;0;1;50;1;50;1;50;1;50;1;0;1;50;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10 brw002;0;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11 brw003;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12 preinf;0;1;20;1;0;1;0;1;20;1;0;1;0;1;0;1;0;1;0;1;20;1;20;1;0;1;0;1;0;1;20;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13 zmaktiv;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 zmstart;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 zmlang;16;1;16;1;50;1;50;1;16;1;16;1;16;1;16;1;16;1;16;1;50;1;50;1;16;1;50;1;16;1;50;1;16;1;15;1;15;1;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 bkstart;5;1;5;1;5;1;5;1;5;1;0;1;0;1;0;1;0;1;0;1;5;1;5;1;5;1;5;1;0;1;5;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17 bklang;95;1;95;1;95;1;95;1;95;1;1;1;1;1;1;1;1;1;1;1;95;1;95;1;95;1;95;1;1;1;95;1;1;1;1;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 ZgbMehl;0;1;0;1;0;1;0;1;52;1;45;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;62;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19 jklang;0;1;5;1;0;1;0;1;5;1;0;1;0;1;0;1;0;1;0;1;5;1;5;1;0;1;0;1;0;1;5;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1A capvar;3;1;3;1;3;1;0;1;3;1;0;1;0;1;0;1;0;1;0;1;3;1;0;1;3;1;0;1;0;1;3;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1B milvar;3;1;3;1;3;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;3;1;0;1;3;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1C dosvar;0;1;0;1;0;1;0;1;1;1;1;1;0;1;2;1;0;1;0;1;0;1;0;1;0;1;0;1;2;1;3;1;0;1;3;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1D tropre;15;1;15;1;15;1;15;1;15;1;10;1;10;1;10;1;10;1;10;1;15;1;15;1;15;1;15;1;10;1;15;1;10;1;10;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
