
25/02/2023  14:21:03

;0000 - 1;;0001 - 2;;0002 - 3;;0003 - 4;;0004 - 5;;0005 - 6;;0006 - 7;;0007 - 8;;0008 - 9;;0009 - 10;;000A - 11;;000B - 12;;000C - 13;;000D - 14;;000E - 15;;000F - 16;;0010 - 17;;0011 - 18;;0012 - 19;;0013 - 20;;0014 - 21;;0015 - 22;;0016 - 23;;0017 - 24;;0018 - 25;;0019 - 26;;001A - 27;;001B - 28;;001C - 29;;001D - 30;;001E - 31;;001F - 32;;0020 - 33;;0021 - 34;;0022 - 35;;0023 - 36;;0024 - 37;;0025 - 38;;0026 - 39;;0027 - 40;;0028 - 41;;0029 - 42;;002A - 43;;002B - 44;;002C - 45;;002D - 46;;002E - 47;;002F - 48;;0030 - 49;;0031 - 50;;0032 - 51;;0033 - 52;;0034 - 53;;0035 - 54;;0036 - 55;;0037 - 56;;0038 - 57;;0039 - 58;
01 nr;0;1;1;1;2;1;3;1;4;1;5;1;6;1;7;1;8;1;9;1;10;1;11;1;12;1;13;1;14;1;15;1;16;1;17;1;18;1;19;1;20;1;21;1;22;1;23;1;24;1;25;1;26;1;27;1;28;1;29;1;30;1;31;1;32;1;33;1;34;1;35;1;36;1;37;1;38;1;39;1;40;1;41;1;42;1;43;1;44;1;45;1;46;1;47;1;48;1;49;1;50;1;51;1;52;1;53;1;54;1;55;1;56;1;57;
02 mode;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;4;1;3;1;3;1;3;1;0;1;2;1;1;1;1;1;1;1;5;1;5;1;1;1;7;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;9;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5;1;5;1;15;1;15;1;5;1;5;1;1;1;5;1;1;1;1;
03 state;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
04 prior;100;1;100;1;101;1;100;1;101;1;100;1;101;1;100;1;101;1;100;1;101;1;100;1;101;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;101;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;101;1;100;1;101;1;102;1;103;1;100;1;100;1;100;1;101;1;100;1;102;1;101;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;
05 prwahl;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
06 prtx;0;1;20;1;20;1;0;1;0;1;0;1;0;1;20;1;20;1;20;1;20;1;20;1;20;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;20;1;20;1;20;1;0;1;0;1;20;1;0;1;20;1;20;1;20;1;20;1;20;1;0;1;20;1;20;1;20;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;20;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;20;1;0;1;20;1;20;
07 zub;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;1;
08 zugabe;0;1;4;1;4;1;0;1;0;1;0;1;0;1;0;1;0;1;3;1;3;1;3;1;3;1;2;1;2;1;1;1;1;1;1;1;0;1;0;1;3;1;3;1;4;1;0;1;0;1;5;1;0;1;9;1;10;1;10;1;10;1;11;1;9;1;4;1;4;1;10;1;0;1;0;1;0;1;14;1;0;1;0;1;0;1;0;1;0;1;0;1;5;1;0;1;0;1;9;1;0;1;0;1;8;1;8;1;5;1;11;1;3;1;3;
09 ausvar;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;
0A mehlmeng;30;1;41;1;69;1;37;1;61;1;60;1;60;1;41;1;69;1;37;1;61;1;55;1;55;1;30;1;30;1;30;1;30;1;30;1;30;1;33;1;41;1;69;1;41;1;30;1;30;1;60;1;30;1;41;1;41;1;37;1;44;1;41;1;30;1;55;1;80;1;55;1;60;1;60;1;60;1;30;1;30;1;45;1;75;1;60;1;75;1;75;1;50;1;30;1;30;1;30;1;30;1;30;1;30;1;30;1;60;1;30;1;39;1;64;
