
25/02/2023  14:20:44

;4500 - 1;;4501 - 2;;4502 - 3;;4503 - 4;;4504 - 5;;4505 - 6;;4506 - 7;;4507 - 8;;4508 - 9;;4509 - 10;;450A - 11;;450B - 12;;450C - 13;;450D - 14;;450E - 15;;450F - 16;;4510 - 17;;4511 - 18;;4512 - 19;;4513 - 20;;0014 - 21;;0015 - 22;;0016 - 23;;0017 - 24;;0018 - 25;;0019 - 26;;001A - 27;;001B - 28;;001C - 29;;001D - 30;;001E - 31;;001F - 32;;0020 - 33;;0021 - 34;;0022 - 35;;0023 - 36;;0024 - 37;;0025 - 38;;0026 - 39;;0027 - 40;;0028 - 41;;0029 - 42;;002A - 43;;002B - 44;;002C - 45;;002D - 46;;002E - 47;;002F - 48;;0030 - 49;;0031 - 50;;0032 - 51;;0033 - 52;;0034 - 53;;0035 - 54;;0036 - 55;;0037 - 56;;0038 - 57;;0039 - 58;
01 nr;9;;1;;9;;3;;27;;32;;18;;18;1;18;;18;;2;;8;;10;;4;;15;;27;;18;;19;;28;1;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02 mode;1;;1;;1;;1;;1;;5;;0;;0;1;0;;0;;1;;1;;1;;1;;3;;1;;0;;2;;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03 state;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04 prior;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;101;;100;;100;;100;;100;;100;;100;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05 prwahl;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06 prtx;20;;20;;20;;0;;20;;0;;0;;0;;0;;0;;20;;20;;20;;0;;0;;20;;0;;0;;20;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07 zub;1;;1;;1;;1;;1;;0;;0;;0;;0;;0;;1;;1;;1;;1;;0;;1;;0;;0;;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08 zugabe;3;;4;;3;;0;;9;;9;;0;;0;;0;;0;;4;;0;;3;;0;;1;;9;;0;;0;;10;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09 ausvar;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;;100;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0A mehlmeng;55;;56;;55;;57;;52;;30;;30;;30;1;30;;30;;76;;90;;61;;75;;30;;55;;30;;33;;55;1;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
