time,dir,packet,len
14.828839000,tx,f016000300010000000100054902000000000000000000000055,26
14.860189000,rx,f0180003000100000001000549020000000000000000000000020057,28
15.000615000,tx,f018000500010000000100054902000000000000000000000003005a,28
15.020209000,rx,f016000500010000000100054902000000000000000000000057,26
15.158098000,tx,f01700050001000000010005490100000000000000000000000157,27
15.180250000,rx,f016000500010000000100054901000000000000000000000056,26
15.408332000,tx,f01700050001000000010005490100000000000000000000000056,27
15.420350000,rx,f016000500010000000100054901000000000000000000000056,26
15.549861000,tx,f0180005000100000001000549020000000000000000000000020059,28
84.806645000,rx,f016000500010000000100054902000000000000000000000057404040413f3f0640fb80048040fc0003c0fe404886735e21050a40314039275d354080404040404040400008022a024005e005c000030029002d0031003500390045005d00000115233525140e0207352315212e03272111331533351e01172315231533153335233533351e012733352307333523013335230523153325233523152315331533353325231523352335233523153315331533152315333533353304804001a02a4d6a3f40fed538624e370c02362040547e24387e7e4240400f11e04040804040fe4040400100c0c001003e44bebe443e0100423c40404240404040423e4003404040c04a8672581c364016455b6d3d022040362480524040404040292854d340c040fe40408040c04040404040c040404040404040404040400000000a0205023d060005c00007000b000f00130017001b00210025003b007100000133153315233533013533150135331537152335373315233715233537152335331513331523031e03140e0207212e0127332e03272111133e0137233533342627233533262723352627153315231533152315331523352315233523152335231e0333323637233533153303403e42c04001823cfec4407e40c040404040808040023e3e4b3b6246262747643dfe1e020302013558442c07023bc04b620e373c0302392a2251393b4540404040403e44be80406d155371894b3f7433643e40034040404001004040fe804040c040404040c04040c0408040ff00400240215e73869089755f1e0101011d5162723e0200fcd1349d5e40111f104070502f29156d804040808040404040404775552f221e804000000005010001c00700064000030007000f00330037000001112111052111210121343e023733070e0107331523350607331523350e010733353315333533153335333523353335233533073315230700fa0005c0fa800580fd40fe002646613bf8402d53262640412e2f40171e063b404040404040404040c040400640fb80048040fc0002004886735e2105061e17402f2e41402626532d40404040404040404080400000000d0205023e060005c0001100550059005d006100650069006d007100750079007d00810000011e03140e0207212e0327211113363735333e01353426271523353326271523353326271123352315233523152335231523352315231e01173533152316173533151e0117353315323637353315363735253315232733152325233533352335330133152301233533273315231133152311331523153315231533152304f73b6246262746623cfe18355a452d07023ba730292f262b211f402f2e4140263036404040404040404014102a1a4039344540101f1140111f10402020ff004040804040024040404040fec0404001404040c04040404040404040404005c0215e73869186745e211d5163723f0200fcc01e29393781483f74332640412e2f401c11fd934040404040404040223d1a39403420142d0507023b4003023b2d090f158040404080404040ff00400180408040fe404001c0404040404000000100a001a007600660000900000121112111073523012303c0fce006c0e0b7febac301a004c0fd76b3ddfec00000000005008001800780068000030007000b000f0026000001233533112335330333152301331523011127071123152335211523352311333533152115211101c080808080808080050080800140132d8080fb80808080800200fcc004c080fe8080ff008002808001c0fd481823028380808080fb8080804005000000000001041b001f062a03a3000700000111230123113301062a3afeba8f8f014503a3fc7c013e010a013c000000000404000000080003c00007000d001b00290000011123012311330117012315330901342627371e0115140607273e01131e0115140607273e013534262706405dfeba9d9d01461dfeb777770149010a322d23333c3935242f305949544c43243e41484503c0fc4001400140014040fec0c0fec001ad4e80381c3d9055529e4a1d448f01e45add7d76d4581c52c66e75ce540000000200a0002007e0066000100021000025222e02343e02321e02140e0201141617211121112e0123220e0406205da379474779a3baa379474779a3fd830202fc9c06c044a15b4b8b79634727204779a3baa379474779a3baa3794701c0111f1004c0fd373237274763798b00000600800180078006800018001f00230027002b002f000001112627112315233521152335231133353315211e01172111013315262735231133152321233533033315231323353307801d238080fb80808080800242010303fc7705c0802020408080fb8080808080808080800680fcfe1916029380808080fb808080111f100500fdc05809060901408080fe00800100800000000304400000080003c00010001c0028000001321e02140e02222e02343e0201141e0233323637010e01013e0135342e0223220607062063af834b4b83afc6af834b4b83affec3427197564e8a36fdb62f3502dc2f35427197564e8a3703c04b83afc6af834b4b83afc6af834bfe2056977142352f024b378afea4368a4e56977142352f00010020006007a007a0002e000025222e022f012122263511343633212726353436370136331617011615140f01213216151114062321070e0303e04f9075521005fe30161f1f1601e213040907018a10161610018a10041201e1161f1f16fe3501064b799d60355e844f1a1f160356161f2d080b0c1307018a10020efe7610160b092c1f16fcea161f1e5898714100000300a000a0072004a000030007000b0000252335330123352902152304208080fd6cec013504170134eda0e002a08080000000000300800080074004c00007000f00170000013311231133153301233521072115332515232733352327040040c04040fd7afa016724fefddf05a1f724dbff240180ff000100c00340c0404080c0404040000000000100c001e00700077000020000130901c00320032001e00590fa700002008001c0074007c000020005000009012125090103e00360f9400653fd0dfd0d07c0fa0040053dfac3000001028002e00550057000020000090202800168016802e00290fd700002024802c0058805c000020005000001210901210102b30269fecc01a0fcc001a00300023afd8603000000000400800121074e078000070016001e002b0000011e0117072e01270114161707352e0135343637170e01131e0117072e012713211123110e0107273e01372105ff76aa2f3c2c9e6dfae506073f07072d2d39292a2e2c9d6d2576a92f4f0200406eb845344ccc7afe4d06e052e087157ecf4cfd562549240d02274f2765c65b1c55b7fe907dd04c3552e08804a5fe0001802e9364256da231000000000400a000e50720076000130017001b001f000001222e02343e023321321e02140e022301112111253717070111211101602846341e1e34462801802846341e1e34462801c00280fa0df3f3f3fe8602f405e01e34465046341e1e34465046341efd800180fe80c0f3f3f3fdb80176fe8a000000000200a000a0076007600005000900000121112115211311211102c0fde00440fde060044001e00580e0fa200580fa80000300800080078007800009000d0011000001211121112335211121011121110521112102c0fdc0048040fc00020004c0fb800440fc00040001c005c0ff00c0fac00440fa4005c040fac000000201c00340064004c0000300070000012135210121352102c0ff0001000380fe000200048040fe80400000000102e00160076004e0000300000121112102e00480fb8004e0fc80000102e00180074004e0000b000001211521112311213521113305400200fe0040fde0022040034040fe8001804001a0000102e00140078004e0000500000111213521110780fb60046004e0fc60400360000000000100a00160076006a0000500000111211121110760fb80fdc006a0fe40fc8005400000000600800140078006c000050009000d0011001500190000011121112111171121110111211902211101211121012111210780fb80fd80400200fe000200fe000440fe0002000240fe00020006c0fe00fc80058040fe800180fe40fe800180fcc00180fe800500fe800180fe80000000000100a000a20720075e00050000130901110901a003400340fcc0fcc0062a0134feccfbacfecc0134000000000101de00a006200760000e00000116151105112111343e02332132060818fde0fdde0e192113038e2607441b22fd1fc8fd42066013231a10000000000401c000800640078000030007000b00220000012115211121152115211521012111343633213216151127071134262321220615112102800300fd000180fe800180fe800180fdc0231a04061a232020261afc8019270200068040fc40408040ff0006c01927261afcda0c0c02e61a262719f9c000000000010460002207e003af00050000251125051105046001c001c0fe41d60234a599fda498000404400000080003d100050009000d00110000011105251125010511252105112511250d010800fe20fe2001e0fe600180fe800340fe800180fe61fe6a01950320fd83a3c00260b1fd1a9901cb9a9afe318202279696a2000200a0002007e00620000e002a000001211121112e0123220e041501140e04222e043511343e04321e04150440fc6006c046914926697170593703a0324f605d4e294d5d604f32324f605d4d294e5d604f3201e00440fdb71514091626394e34fdc0203024180e06060e182430200240203024180e06060e182430200000000004008001c007800640000900160048005a00000121112111271121112101141633112e0127112627233521321e04150f013634372e05220e04141e0433323637150623222e04343e040506071116173315213426231132363521150440fc40070040f98003800280261a101f111e11d1fe40365a4735231101420201010d1c2939485849382a1c0d0d1c2a38492c11200f20203759473523111123354759fda6111e1e11d1ff00261a1a26010001c00480fd8c140220fc0003c01a26fe6f0205020159111e4029455b64662d20150b170c2759574f3d24253e4f56544854564f3e250706440929455b64665a66645b4529401e11fd5e111e401a260300261a40000000000504800000080003c000140024003400440055000001321e021511140e02222e023511343e02010e0122262715141e02323e0235110e0122262715141e02323e0235110e0122262715141e02323e023525323e02342e02220e02141e0206405da37a46467aa3baa37a46467aa301dd3bcaf6ca3b35638fb28f63353bcaf6ca3b35638fb28f63353bcaf6ca3b35638fb28f6335fe80598f633535638fb28f633535638f03c01e344628fdc02846341e1e34462802402846341efd5d2a33332a5d112c281b1b282c11011d2a33332a5d112c281b1b282c11011d2a33332a5d112c281b1b282c11401b282c222c281b1b282c222c281b0000000100e0010006e006a0002200000111331521220607060726272e01232111331123352132161716173536373e0133211106c020fde03051,4056
