time,dir,packet,len
12.223332000,tx,f016000300010000000100054902000000000000000000000055,26
12.238717000,rx,f0180003000100000001000549020000000000000000000000020057,28
12.361896000,tx,f018000500010000000100054902000000000000000000000003005a,28
12.382783000,rx,f016000500010000000100054902000000000000000000000057,26
12.522801000,tx,f01700050001000000010005490100000000000000000000000157,27
12.558862000,rx,f016000500010000000100054901000000000000000000000056,26
12.894929000,tx,f01700050001000000010005490100000000000000000000000056,27
12.926998000,rx,f016000500010000000100054901000000000000000000000056,26
13.064282000,tx,f0180005000100000001000549020000000000000000000000020059,28
13.279150000,rx,f016000500010000000100054902000000000000000000000057,26
15.479549000,tx,f0160003000100000001008145000001000300000009000000d8,26
15.520015000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
17.427062000,tx,f0160003000100000001008145000001000300000009000000d8,26
17.460739000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
19.356403000,tx,f0160003000100000001008145000001000300000009000000d8,26
19.396483000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
21.284146000,tx,f0160003000100000001008145000001000300000009000000d8,26
21.338184000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
23.233912000,tx,f0160003000100000001008145000001000300000009000000d8,26
23.263921000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
25.156408000,tx,f0160003000100000001008145000001000300000009000000d8,26
25.187820000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
27.068489000,tx,f0160003000100000001008145000001000300000009000000d8,26
27.105360000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
28.989434000,tx,f0160003000100000001008145000001000300000009000000d8,26
29.053058000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
30.940736000,tx,f0160003000100000001008145000001000300000009000000d8,26
30.969839000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
32.866385000,tx,f0160003000100000001008145000001000300000009000000d8,26
32.903590000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
34.926674000,tx,f0160003000100000001008145000001000300000009000000d8,26
34.965453000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
36.910228000,tx,f0160003000100000001008145000001000300000009000000d8,26
36.941987000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
38.877188000,tx,f0160003000100000001008145000001000300000009000000d8,26
38.958745000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
40.834322000,tx,f0160003000100000001008145000001000300000009000000d8,26
40.874489000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
42.766156000,tx,f0160003000100000001008145000001000300000009000000d8,26
42.806185000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
44.708238000,tx,f0160003000100000001008145000001000300000009000000d8,26
44.743113000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
46.636620000,tx,f0160003000100000001008145000001000300000009000000d8,26
46.686663000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
48.546187000,tx,f0160003000100000001008145000001000300000009000000d8,26
48.579325000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
50.473505000,tx,f0160003000100000001008145000001000300000009000000d8,26
50.540088000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
52.432729000,tx,f0160003000100000001008145000001000300000009000000d8,26
52.466790000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
54.354358000,tx,f0160003000100000001008145000001000300000009000000d8,26
54.394531000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
56.267130000,tx,f0160003000100000001008145000001000300000009000000d8,26
56.297265000,rx,f061000300010000000100814500000100030000000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074,101
