dir,packet,len
tx,f016000300010000000100064902000000000000000000000056,26
rx,f0180003000100000001000649020000000000000000000000020058,28
tx,f018000500010000000100064902000000000000000000000003005b,28
rx,f016000500010000000100064902000000000000000000000058,26
tx,f01700050001000000010006490100000000000000000000000158,27
rx,f016000500010000000100064901000000000000000000000057,26
tx,f01700050001000000010006490100000000000000000000000057,27
rx,f016000500010000000100064901000000000000000000000057,26
tx,f018000500010000000100064902000000000000000000000002005a,28
rx,f016000500010000000100064902000000000000000000000058,26
