time,dir,packet,len
3.116233000,tx,f016000300010000000100064902000000000000000000000056,26
3.145087000,rx,f0180003000100000001000649020000000000000000000000020058,28
3.258770000,tx,f018000500010000000100064902000000000000000000000003005b,28
3.273089000,rx,f016000500010000000100064902000000000000000000000058,26
3.394654000,tx,f01700050001000000010006490100000000000000000000000158,27
3.417178000,rx,f016000500010000000100064901000000000000000000000057,26
3.730662000,tx,f01700050001000000010006490100000000000000000000000057,27
3.737271000,rx,f016000500010000000100064901000000000000000000000057,26
3.857932000,tx,f018000500010000000100064902000000000000000000000002005a,28
3.881390000,rx,f016000500010000000100064902000000000000000000000058,26
6.066416000,tx,f0160003000100000001008145000001000100000009000000d6,26
6.103212000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500dc0006,101
7.999358000,tx,f0160003000100000001008145000001000100000009000000d6,26
8.028057000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500dc0006,101
9.941667000,tx,f0160003000100000001008145000001000100000009000000d6,26
9.980825000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500dc0006,101
11.966070000,tx,f0160003000100000001008145000001000100000009000000d6,26
12.001433000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500dc0006,101
13.969092000,tx,f0160003000100000001008145000001000100000009000000d6,26
14.041207000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500dc0006,101
15.956814000,tx,f0160003000100000001008145000001000100000009000000d6,26
16.000858000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500dc0006,101
18.008037000,tx,f0160003000100000001008145000001000100000009000000d6,26
18.037623000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500dc0006,101
19.965552000,tx,f0160003000100000001008145000001000100000009000000d6,26
19.995418000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500dc0006,101
21.881352000,tx,f0160003000100000001008145000001000100000009000000d6,26
