time,dir,packet,len
7.419716000,tx,f016000300010000000100024902000000000000000000000052,26
7.442568000,rx,f0180003000100000001000249020000000000000000000000020054,28
7.561868000,tx,f0180005000100000001000249020000000000000000000000030057,28
7.586614000,rx,f016000500010000000100024902000000000000000000000054,26
7.715343000,tx,f01700050001000000010002490100000000000000000000000154,27
7.730644000,rx,f016000500010000000100024901000000000000000000000053,26
7.941333000,tx,f01700050001000000010002490100000000000000000000000053,27
8.098816000,rx,f016000500010000000100024901000000000000000000000053,26
8.215440000,tx,f0180005000100000001000249020000000000000000000000020056,28
8.322902000,rx,f016000500010000000100024902000000000000000000000054,26
11.499987000,tx,f016000300010000000100024902000000000000000000000052,26
11.524055000,rx,f0180003000100000001000249020000000000000000000000020054,28
11.637194000,tx,f0180005000100000001000249020000000000000000000000030057,28
11.652151000,rx,f016000500010000000100024902000000000000000000000054,26
11.775334000,tx,f01700050001000000010002490100000000000000000000000154,27
11.796193000,rx,f016000500010000000100024901000000000000000000000053,26
12.003635000,tx,f01700050001000000010002490100000000000000000000000053,27
12.196296000,rx,f016000500010000000100024901000000000000000000000053,26
12.320448000,tx,f0180005000100000001000249020000000000000000000000020056,28
12.436421000,rx,f016000500010000000100024902000000000000000000000054,26
