dir,packet,len
tx,f016000300010000000100034902000000000000000000000053,26
rx,f0180003000100000001000349020000000000000000000000020055,28
tx,f0180005000100000001000349020000000000000000000000030058,28
rx,f016000500010000000100034902000000000000000000000055,26
tx,f01700050001000000010003490100000000000000000000000155,27
rx,f016000500010000000100034901000000000000000000000054,26
tx,f01700050001000000010003490100000000000000000000000054,27
rx,f016000500010000000100034901000000000000000000000054,26
tx,f0180005000100000001000349020000000000000000000000020057,28
rx,f016000500010000000100034902000000000000000000000055,26
