dir,packet,len
tx,f016000300010000000100034902000000000000000000000053,26
rx,f0180003000100000001000349020000000000000000000000020055,28
tx,f0180005000100000001000349020000000000000000000000030058,28
rx,f016000500010000000100034902000000000000000000000055,26
tx,f01700050001000000010003490100000000000000000000000155,27
rx,f016000500010000000100034901000000000000000000000054,26
tx,f01700050001000000010003490100000000000000000000000054,27
rx,f016000500010000000100034901000000000000000000000054,26
tx,f0180005000100000001000349020000000000000000000000020057,28
rx,f016000500010000000100034902000000000000000000000055,26
tx,f0160003000100000001008145000003000000130009000000ea,26
rx,f0f20503000100000001008145000003000000130009000000090191640114000103643700010000005500c8001e00320000080000000f10055f0000000303000f016300010100004c617474652020202020202020202020202020003200000005001701010101640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500d80009010164011400010364370001000000e60069000000320100080000000f32055f0000000303000f01410001000000576869746520436f666665652020202020202000320000000500340003010164010000010064390001000000180100000000320100080000000f32055f0000000000000f01460001000000416d65726963616e6f2020202020202020202000320000000500c6001b010164011400010964340001000000230064000000320000080014000f10055f3400050300010f014100010200004d6f6368612020202020202020202020202020003200aa0005002a01200501640100000009641e00000001000a0069000000000100080000000f1000012d00000000010a010a0001000000486f742043686f636f6c617465202020202020003200be0000000801120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000130201640100000000642100000000000a00b4000000000000080000000f1000010000000000020a01140001000000686f7420776174657220202020202020202020003200000005003110120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000020101640114000104644c0001000000420096001e00320000080014000f32055f0000050303000f012b0001020000322043617070756363696e6f20202020202020003200000005000000080101640114000100645a0001000000460000000000320000080014000f32055f0000050000000f012300010200003220657370726573736f2020202020202020200032000000050000000a0101650114000103643d00010000003c00ae002d00320000080000000f10055f0000000303000f01330001010100322063616665206c6174746520202020202020003200000005000000040101640100000100644b00010000000e0100000000320000080000000f32055f0000000000000f013d0001010000322063616665206372656d65202020202020200032000000050000000f0301640100000001641e00000000000a005a000000000000080000000f1000010000000000020a011400010000006d696c6b206672656520666c6f7720202020200032000000050000001b010164011400010964370001000000200050000000320000080014000f32055f3e00050300030f012f000102000063686f63696174746f20202020202020202020003200500005000000120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000130201640100000000642100010000000a0078003c00000000000000000f0f00010000000000030a01140001000000486f7420776174657220202020202020202020003200000005000000000a11000000000000001e00000000000a0000000000000000000000000f0f000000000000000000001400000000007832202020202020202020202020202020202000000000000a000000000a11000000000000001e00000000000a0000000000000000000000000f0f000000000000000000001400000000007832202020202020202020202020202020202000000000000a000000db,1526
tx,f0160003000100000001008145000003000000130009000000ea,26
rx,f0f20503000100000001008145000003000000130009000000090191640114000103643700010000005500c8001e00320000080000000f10055f0000000303000f016300010100004c617474652020202020202020202020202020003200000005001701010101640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500d80009010164011400010364370001000000e60069000000320100080000000f32055f0000000303000f01410001000000576869746520436f666665652020202020202000320000000500340003010164010000010064390001000000180100000000320100080000000f32055f0000000000000f01460001000000416d65726963616e6f2020202020202020202000320000000500c6001b010164011400010964340001000000230064000000320000080014000f10055f3400050300010f014100010200004d6f6368612020202020202020202020202020003200aa0005002a01200501640100000009641e00000001000a0069000000000100080000000f1000012d00000000010a010a0001000000486f742043686f636f6c617465202020202020003200be0000000801120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000130201640100000000642100000000000a00b4000000000000080000000f1000010000000000020a01140001000000686f7420776174657220202020202020202020003200000005003110120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000020101640114000104644c0001000000420096001e00320000080014000f32055f0000050303000f012b0001020000322043617070756363696e6f20202020202020003200000005000000080101640114000100645a0001000000460000000000320000080014000f32055f0000050000000f012300010200003220657370726573736f2020202020202020200032000000050000000a0101650114000103643d00010000003c00ae002d00320000080000000f10055f0000000303000f01330001010100322063616665206c6174746520202020202020003200000005000000040101640100000100644b00010000000e0100000000320000080000000f32055f0000000000000f013d0001010000322063616665206372656d65202020202020200032000000050000000f0301640100000001641e00000000000a005a000000000000080000000f1000010000000000020a011400010000006d696c6b206672656520666c6f7720202020200032000000050000001b010164011400010964370001000000200050000000320000080014000f32055f3e00050300030f012f000102000063686f63696174746f20202020202020202020003200500005000000120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000130201640100000000642100010000000a0078003c00000000000000000f0f00010000000000030a01140001000000486f7420776174657220202020202020202020003200000005000000000a11000000000000001e00000000000a0000000000000000000000000f0f000000000000000000001400000000007832202020202020202020202020202020202000000000000a000000000a11000000000000001e00000000000a0000000000000000000000000f0f000000000000000000001400000000007832202020202020202020202020202020202000000000000a000000db,1526
tx,f0160003000100000001008145000003000000130009000000ea,26
rx,f0f20503000100000001008145000003000000130009000000090191640114000103643700010000005500c8001e00320000080000000f10055f0000000303000f016300010100004c617474652020202020202020202020202020003200000005001701010101640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500d80009010164011400010364370001000000e60069000000320100080000000f32055f0000000303000f01410001000000576869746520436f666665652020202020202000320000000500340003010164010000010064390001000000180100000000320100080000000f32055f0000000000000f01460001000000416d65726963616e6f2020202020202020202000320000000500c6001b010164011400010964340001000000230064000000320000080014000f10055f3400050300010f014100010200004d6f6368612020202020202020202020202020003200aa0005002a01200501640100000009641e00000001000a0069000000000100080000000f1000012d00000000010a010a0001000000486f742043686f636f6c617465202020202020003200be0000000801120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000130201640100000000642100000000000a00b4000000000000080000000f1000010000000000020a01140001000000686f7420776174657220202020202020202020003200000005003110120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000020101640114000104644c0001000000420096001e00320000080014000f32055f0000050303000f012b0001020000322043617070756363696e6f20202020202020003200000005000000080101640114000100645a0001000000460000000000320000080014000f32055f0000050000000f012300010200003220657370726573736f2020202020202020200032000000050000000a0101650114000103643d00010000003c00ae002d00320000080000000f10055f0000000303000f01330001010100322063616665206c6174746520202020202020003200000005000000040101640100000100644b00010000000e0100000000320000080000000f32055f0000000000000f013d0001010000322063616665206372656d65202020202020200032000000050000000f0301640100000001641e00000000000a005a000000000000080000000f1000010000000000020a011400010000006d696c6b206672656520666c6f7720202020200032000000050000001b010164011400010964370001000000200050000000320000080014000f32055f3e00050300030f012f000102000063686f63696174746f20202020202020202020003200500005000000120001640100000000641e00010000000a0000000000000000080000000f1000010000000000000a01140001000000626c6f636b6564202020202020202020202020003200000005000000130201640100000000642100010000000a0078003c00000000000000000f0f00010000000000030a01140001000000486f7420776174657220202020202020202020003200000005000000000a11000000000000001e00000000000a0000000000000000000000000f0f000000000000000000001400000000007832202020202020202020202020202020202000000000000a000000000a11000000000000001e00000000000a0000000000000000000000000f0f000000000000000000001400000000007832202020202020202020202020202020202000000000000a000000db,1526
