dir,packet,len
tx,f016000300010000000100118b010000000000000000000000a2,26
rx,f034000300010000000100118b01000000000000000000000033313420574d462d414700000000000000000000000000000000000000fbf4,56
tx,f016000300010000000100108b010000000000000000000000a1,26
rx,f01a000300010000000100108b010000000000000000000000de1f01009f,30
tx,f016000300010000000100044902000000000000000000000054,26
rx,f0180003000100000001000449020000000000000000000000020056,28
tx,f0180005000100000001000449020000000000000000000000030059,28
rx,f016000500010000000100044902000000000000000000000056,26
tx,f01700050001000000010004490100000000000000000000000156,27
rx,f016000500010000000100044901000000000000000000000055,26
tx,f01700050001000000010004490100000000000000000000000055,27
rx,f016000500010000000100044901000000000000000000000055,26
tx,f0180005000100000001000449020000000000000000000000020058,28
rx,f016000500010000000100044902000000000000000000000056,26
