time,dir,packet,len
26.845494000,tx,f016000300010000000100118b010000000000000000000000a2,26
26.863492000,rx,f034000300010000000100118b01000000000000000000000033313420574d462d414700000000000000000000000000000000000000fbf4,56
26.898919000,tx,f016000300010000000100108b010000000000000000000000a1,26
26.927489000,rx,f01a000300010000000100108b010000000000000000000000de1f01009f,30
26.962886000,tx,f0160003000100000001000a100000000000000000000000001f,26
26.975515000,rx,f0300003000100000001000a10000000000000000000000000434f502030312e3031205665722030352e30322042554c30303107,52
27.037697000,tx,f0160003000100000001008652000001000000000000000000de,26
27.055543000,rx,f034000300010000000100865200000100000000000000000014003a003c00ffffffffffff7701c80005007000000400003300000000004e,56
27.445674000,tx,f017000500010000000100004d020000000000000000000000055b,27
27.455676000,rx,f016000500010000000100004d02000000000000000000000056,26
27.499592000,tx,f017000500010000000100004d0300000000000000000000000b62,27
27.519694000,rx,f016000500010000000100004d03000000000000000000000057,26
27.573117000,tx,f017000500010000000100004d0100000000000000000000000156,27
27.599723000,rx,f016000500010000000100004d01000000000000000000000055,26
27.653081000,tx,f018000500010000000100004d040000000000000000000000010059,28
27.679759000,rx,f016000500010000000100004d04000000000000000000000058,26
27.724140000,tx,f016000300010000000100004d00000100000000000000000053,26
27.743797000,rx,f01b000300010000000100004d00000100000000000000000003050b010067,31
27.788895000,tx,f016000300010000000100014d00000100010000000b00000060,26
27.823812000,rx,f048000300010000000100014d00000100010000000b0000003e000100220031000d00190002000100000000000000000000000000000000000000000000000000000000000000000000001b,76
27.874305000,tx,f016000300010000000100014d05000000000000000000000058,26
27.887848000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
27.933099000,tx,f016000300010000000100014d04000000000000000000000057,26
27.951846000,rx,f018000300010000000100014d040000000000000000000000310088,28
28.001991000,tx,f016000300010000000100014d03000000000000000000000056,26
28.015899000,rx,f018000300010000000100014d030000000000000000000000220078,28
28.077950000,tx,f016000300010000000100014d06000000000000000000000059,26
28.111917000,rx,f018000300010000000100014d060000000000000000000000190072,28
28.174741000,tx,f016000300010000000100014d0700000000000000000000005a,26
28.191948000,rx,f018000300010000000100014d07000000000000000000000002005c,28
28.252663000,tx,f016000300010000000100014d0800000000000000000000005b,26
28.271974000,rx,f018000300010000000100014d08000000000000000000000001005c,28
28.369045000,tx,f016000300010000000100014d0900000000000000000000005c,26
28.384025000,rx,f018000300010000000100014d09000000000000000000000000005c,28
28.452778000,tx,f017000500010000000100004d0100000000000000000000000156,27
28.480122000,rx,f016000500010000000100004d01000000000000000000000055,26
28.547075000,tx,f018000500010000000100004d04000000000000000000000002005a,28
28.560125000,rx,f016000500010000000100004d04000000000000000000000058,26
28.612451000,tx,f016000300010000000100004d00000100000000000000000053,26
28.624132000,rx,f01b000300010000000100004d00000100000000000000000003050b020068,31
28.677177000,tx,f016000300010000000100014d00000100020000000b00000061,26
28.712138000,rx,f048000300010000000100014d00000100020000000b0000003e0001001e0031000d001900020004001a00000000000000000000000000000000000000000000000000000000000000000035,76
28.775883000,tx,f016000300010000000100014d05000000000000000000000058,26
28.792172000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
28.843702000,tx,f016000300010000000100014d04000000000000000000000057,26
28.856197000,rx,f018000300010000000100014d040000000000000000000000310088,28
28.932994000,tx,f016000300010000000100014d03000000000000000000000056,26
28.952253000,rx,f018000300010000000100014d0300000000000000000000001e0074,28
29.095868000,tx,f016000300010000000100014d06000000000000000000000059,26
29.112297000,rx,f018000300010000000100014d060000000000000000000000190072,28
29.157582000,tx,f016000300010000000100014d0700000000000000000000005a,26
29.176322000,rx,f018000300010000000100014d07000000000000000000000002005c,28
29.259777000,tx,f016000300010000000100014d0800000000000000000000005b,26
29.272373000,rx,f018000300010000000100014d08000000000000000000000004005f,28
29.337320000,tx,f016000300010000000100014d0900000000000000000000005c,26
29.352374000,rx,f018000300010000000100014d0900000000000000000000001a0076,28
29.411566000,tx,f017000500010000000100004d0100000000000000000000000156,27
29.432422000,rx,f016000500010000000100004d01000000000000000000000055,26
29.493428000,tx,f018000500010000000100004d04000000000000000000000003005b,28
29.512446000,rx,f016000500010000000100004d04000000000000000000000058,26
29.575808000,tx,f016000300010000000100004d00000100000000000000000053,26
29.592475000,rx,f01b000300010000000100004d00000100000000000000000003050b030069,31
29.684184000,tx,f016000300010000000100014d00000100030000000b00000062,26
29.709515000,rx,f048000300010000000100014d00000100030000000b000000f3000100080010000d001900020001000000000000000000000000000000000000000000000000000000000000000000000097,76
29.785905000,tx,f016000300010000000100014d05000000000000000000000058,26
29.805548000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
29.856878000,tx,f016000300010000000100014d04000000000000000000000057,26
29.869598000,rx,f018000300010000000100014d040000000000000000000000100067,28
29.918611000,tx,f016000300010000000100014d03000000000000000000000056,26
29.933623000,rx,f018000300010000000100014d03000000000000000000000008005e,28
29.980095000,tx,f016000300010000000100014d06000000000000000000000059,26
30.013624000,rx,f018000300010000000100014d060000000000000000000000190072,28
30.062798000,tx,f016000300010000000100014d0700000000000000000000005a,26
30.077647000,rx,f018000300010000000100014d07000000000000000000000002005c,28
30.125464000,tx,f016000300010000000100014d0800000000000000000000005b,26
30.141672000,rx,f018000300010000000100014d08000000000000000000000001005c,28
30.188607000,tx,f016000300010000000100014d0900000000000000000000005c,26
30.205699000,rx,f018000300010000000100014d09000000000000000000000000005c,28
30.267598000,tx,f017000500010000000100004d0100000000000000000000000156,27
30.285747000,rx,f016000500010000000100004d01000000000000000000000055,26
30.355772000,tx,f018000500010000000100004d04000000000000000000000004005c,28
30.365872000,rx,f016000500010000000100004d04000000000000000000000058,26
30.425205000,tx,f016000300010000000100004d00000100000000000000000053,26
