,time,tx,rx,f-nr
10,4.829485,f016000300010000000100014d00000100010000000b00000060,f048000300010000000100014d00000100010000000b0000003e000100220031000d00190002000100000000000000000000000000000000000000000000000000000000000000000000001b,True
36,5.21256,f016000300010000000100014d00000100020000000b00000061,f048000300010000000100014d00000100020000000b0000003e0001001e0031000d001900020004001a00000000000000000000000000000000000000000000000000000000000000000035,True
58,5.592637,f016000300010000000100014d00000100030000000b00000062,f048000300010000000100014d00000100030000000b000000f3000100080010000d001900020001000000000000000000000000000000000000000000000000000000000000000000000097,True
80,5.93631,f016000300010000000100014d00000100040000000b00000063,f048000300010000000100014d00000100040000000b0000003e0001001f0008000d0019000200030000000000000000000000000000000000000000000000000000000000000000000000f4,True
212,8.137078,f016000300010000000100014d000001000a0000000b00000069,f048000300010000000100014d000001000a0000000b0000003e000100000013000a000e000200020000000000000000000000000000000000000000000000000000000000000000000000d7,True
256,8.889112,f016000300010000000100014d000001000c0000000b0000006b,f048000300010000000100014d000001000c0000000b0000003e0001003000170010000d00020001000000000000000000000000000000000000000000000000000000000000000000000011,True
278,9.231191,f016000300010000000100014d000001000d0000000b0000006c,f048000300010000000100014d000001000d0000000b0000003e0001002d00170010000d00020008001a00000000000000000000000000000000000000000000000000000000000000000030,True
300,9.56865,f016000300010000000100014d000001000e0000000b0000006d,f048000300010000000100014d000001000e0000000b0000003e0001002a003a000d000d00020007000000000000000000000000000000000000000000000000000000000000000000000033,True
344,10.35526,f016000300010000000100014d00000100100000000b0000006f,f048000300010000000100014d00000100100000000b0000003e0001000300310014000a00020006000000000000000000000000000000000000000000000000000000000000000000000008,True
388,11.105576,f016000300010000000100014d00000100120000000b00000071,f048000300010000000100014d00000100120000000b0000003e0001003500300014000a0002000500000000000000000000000000000000000000000000000000000000000000000000003a,True
432,11.783683,f016000300010000000100014d00000100140000000b00000073,f048000300010000000100014d00000100140000000b0000003e000100300024001600090002000400000000000000000000000000000000000000000000000000000000000000000000002b,True
476,12.519728,f016000300010000000100014d00000100160000000b00000075,f048000300010000000100014d00000100160000000b0000003e0001002e00260011000900020003000000000000000000000000000000000000000000000000000000000000000000000027,True
542,13.624946,f016000300010000000100014d00000100190000000b00000078,f048000300010000000100014d00000100190000000b0000003e0001003200220011000900020002003a00000000000000000000000000000000000000000000000000000000000000000063,True
652,15.289099,f016000300010000000100014d000001001e0000000b0000007d,f048000300010000000100014d000001001e0000000b0000003e0001003b001e0011000900020001000000000000000000000000000000000000000000000000000000000000000000000032,True
674,15.70265,f016000300010000000100014d000001001f0000000b0000007e,f048000300010000000100014d000001001f0000000b0000003e00010038001e0011000900020007001a00000000000000000000000000000000000000000000000000000000000000000050,True
696,16.044355,f016000300010000000100014d00000100200000000b0000007f,f048000300010000000100014d00000100200000000b0000003e000100330017001100090002000600000000000000000000000000000000000000000000000000000000000000000000002a,True
